2016-10-31,45.83,1.091190476
2016-11-30,44.8,1.066666667
2016-12-31,53.3,1.269047619
2017-01-31,52.19,1.242619048
2017-02-28,53.4,1.271428571
2017-03-31,50.43,1.200714286
2017-04-30,49.33,1.17452381
2017-05-31,48.69,1.159285714
2017-06-30,45.63,1.086428571
2017-07-31,49.97,1.189761905
2017-08-31,49.36,1.175238095
2017-09-30,55.2,1.314285714
2017-10-31,58.53,1.393571429
2017-11-30,61.06,1.453809524
2017-12-31,64.47,1.535
2018-01-31,66.28,1.578095238
2018-02-28,63.97,1.523095238
2018-03-31,65.87,1.568333333
2018-04-30,71.02,1.690952381
2018-05-31,75.18,1.79
2018-06-30,75.68,1.801904762
2018-07-31,73.62,1.752857143
2018-08-31,75.74,1.803333333
2018-09-30,81.48,1.94
2018-10-31,75.24,1.791428571
2018-11-30,58.33,1.388809524
2018-12-31,51.55,1.227380952
2019-01-31,61.19,1.456904762
2019-02-28,65.28,1.554285714
2019-03-31,67.23,1.600714286
2019-04-30,71.91,1.712142857
2019-05-31,64.15,1.527380952
2019-06-30,65.6,1.561904762
2019-07-31,65.53,1.560238095
2019-08-31,60.11,1.431190476
2019-09-30,61.09,1.45452381
2019-10-31,60.52,1.440952381
2019-11-30,63.83,1.519761905
2019-12-31,67.96,1.618095238
2020-01-31,58.94,1.403333333
2020-02-29,50.19,1.195
2020-03-31,22.61,0.538333333
2020-04-30,18.05,0.429761905
2020-05-31,29.01,0.690714286
2020-06-30,38.22,0.91
2020-07-31,43.02,1.024285714
2020-08-31,46.27,1.101666667
2020-09-30,40.65,0.967857143
2020-10-31,36.5,0.869047619
2020-11-30,46.43,1.10547619
2020-12-31,50.24,1.196190476
2021-01-31,54.41,1.29547619
2021-02-28,64.37,1.532619048
2021-03-31,63.07,1.501666667
2021-04-30,65.42,1.557619048
2021-05-31,68.53,1.631666667
2021-06-30,73.6,1.752380952
2021-07-31,74.98,1.785238095
2021-08-31,71.43,1.700714286
2021-09-30,77.72,1.85047619
2021-10-31,82.87,1.973095238
2021-11-30,71.01,1.690714286
2021-12-31,77.97,1.856428571
2022-01-31,90.73,2.160238095
2022-02-28,98.96,2.356190476
2022-03-31,107.74,2.565238095
2022-04-30,107.99,2.571190476
2022-05-31,122.94,2.927142857
2022-06-30,115.6,2.752380952
2022-07-31,110.84,2.639047619
2022-08-31,101.29,2.411666667
